"site_name","site_id","ccamlr.region","longitude_epsg_4326","latitude_epsg_4326","common_name","day","month","year","season_starting","penguin_count","accuracy","count_type","vantage","reference"
"Robert Point (Robert Island)","ROBE",48.1,-59.383,-62.4499999999993,"chinstrap penguin",15,12,2016,2016,2889,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Romeo Island","ROME",48.1,-59.9268,-62.3762999999993,"chinstrap penguin",2,2,1987,1986,500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cape Roquemaurel","ROQU",48.1,-58.9652,-63.5485999999995,"chinstrap penguin",18,1,1987,1986,800,3,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Rugged Rocks","RUGG",48.1,-59.816,-62.6009999999993,"chinstrap penguin",18,1,2017,2016,1950,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Rzepeki Islands","RZEP",48.1,-58.824,-62.0989999999992,"chinstrap penguin",NA,NA,1980,1980,6430,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Saddleback Point","SAPT",48.1,-54.901,-61.098999999999,"chinstrap penguin",6,3,1971,1970,10250,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Sartorius Point","SART",48.1,-59.6567,-62.5595999999993,"chinstrap penguin",27,1,2018,2017,321,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Seal Islands","SEAL",48.1,-55.393,-60.9749999999989,"chinstrap penguin",30,1,1987,1986,20000,4,"adults","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Small island southeast on Gerlache Island","SEGI",48.1,-64.2038,-64.6036999999996,"chinstrap penguin",2,1,1985,1984,2000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Selvick Cove","SELV",48.1,-62.5691,-64.6404999999996,"chinstrap penguin",1,1,2018,2017,63,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Serac Point","SERA",48.1,-54.026,-61.176999999999,"chinstrap penguin",4,2,1977,1976,7500,5,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Island south of Guesalaga Island","SGUE",48.1,-61.999,-64.2819999999996,"chinstrap penguin",9,3,1922,1921,NA,NA,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Shilling Shelf","SHIL",48.1,-54.735,-61.096999999999,"chinstrap penguin",18,1,1971,1970,4000,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cape Shirreff","SHIR",48.1,-60.7874,-62.4574999999993,"chinstrap penguin",27,11,2010,2010,4127,1,"nests","ground","<strong>Antarctic Ecosystem Research Group  </strong><i> 2014c</i>. AMLR 2010-2011 Field Season Report. Technical report  National Oceanic & Atmospheric Administration  La Jolla  United States. "
"Shag Island","SHIS",48.1,-58.297,-62.1849999999992,"chinstrap penguin",NA,NA,1980,1980,359,1,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Small Island","SMAL",48.1,-61.4549,-64.0120999999996,"chinstrap penguin",29,1,1986,1985,1000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Smiggers Island","SMIG",48.1,-65.3514,-65.4596999999997,"chinstrap penguin",7,1,2013,2012,2,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Cape Smith","SMIT",48.1,-62.3,-62.8737999999994,"chinstrap penguin",4,2,1987,1986,4500,2,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"South Point Bluff","SPBL",48.1,-60.6347,-63.0157999999994,"chinstrap penguin",NA,12,2011,2011,217,3,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Spert Island","SPER",48.1,-60.9778,-63.8613999999995,"chinstrap penguin",5,1,2014,2013,0,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Spigot Peak","SPIG",48.1,-62.554,-64.6349999999996,"chinstrap penguin",21,12,2016,2016,496,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Spigot Peak Point","SPIP",48.1,-62.558,-64.6249999999996,"chinstrap penguin",21,12,2016,2016,332,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Split Beach","SPLI",48.1,-54.937,-61.155999999999,"chinstrap penguin",18,1,1971,1970,30,5,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"South Point Bluff (northwest)","SPNW",48.1,-60.6702,-63.0137999999994,"chinstrap penguin",NA,12,2011,2011,5352,2,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Sprightly Islands Vicinity","SPRI",48.1,-61.072,-64.2829999999996,"chinstrap penguin",9,2,2011,2010,110,1,"nests","ground","<strong>Gonz&#225;lez-Zevallos  D.  M. M. Santos  E. F. Rombol&#225;  M. A. Ju&#225;res  and N. R. Coria  </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula. Polar Research 32:1-7."
"Spigot Peak Tripod","SPTR",48.1,-62.5622,-64.6357999999996,"chinstrap penguin",1,1,2018,2017,95,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Sterneck Island","STER",48.1,-60.9826,-64.2009999999996,"chinstrap penguin",21,2,2016,2015,0,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Stigant Point","STIG",48.1,-58.7185,-62.0229999999992,"chinstrap penguin",29,1,1987,1986,13550,2,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Stoker Island","STOK",48.1,-59.85,-62.3999999999993,"chinstrap penguin",26,12,2015,2015,NA,NA,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Stranger Point","STRA",48.1,-58.6161,-62.2599999999993,"chinstrap penguin",NA,NA,1988,1988,265,1,"nests","ground","<strong>Aguirre  C. A.  </strong><i> 1995</i>. Distribution and abundance of birds at Potter Peninsula  25 de Mayo (King George) Island  South Shetland Islands  Antarctica. Marine Ornithology 23:23-31. "
"Tartar Point","TART",48.1,-58.423,-61.9369999999992,"chinstrap penguin",29,1,1987,1986,35000,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Taylor Point","TAYL",48.1,-57.642,-61.9329999999992,"chinstrap penguin",31,1,1987,1986,0,1,"nests","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Tetrad Islands","TETR",48.1,-60.734,-63.9179999999996,"chinstrap penguin",17,12,2017,2017,285,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Thunder Bay","THUN",48.1,-54.117,-61.311999999999,"chinstrap penguin",25,12,1976,1976,20000,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Trinity Island (east)","TIEA",48.1,-60.683,-63.8829999999995,"chinstrap penguin",16,1,1984,1983,2,1,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Trinity Island (northwest)","TINW",48.1,-60.749,-63.7109999999995,"chinstrap penguin",22,1,1987,1986,670,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Trinity Island (southwest)","TISW",48.1,-60.879,-63.8999999999995,"chinstrap penguin",17,1,2016,2015,614,2,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Trinity Island (west)","TIWE",48.1,-60.829,-63.8329999999995,"chinstrap penguin",22,1,1987,1986,700,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Torgersen Island","TORG",48.1,-64.0741,-64.7730999999996,"chinstrap penguin",NA,NA,2008,2008,0,1,"nests","ground","<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING</strong><i>  2008</i>. Designation of Antarctic Specially Managed Area No. 7: Southwest Anvers island and Palmer Basin. Measure 1  Final Report of the Thirty-first Antarctic Treaty Consultative Meeting  Kyiv  Ukraine. "
"Tower Island (east)","TOWE",48.1,-59.779,-63.5909999999995,"chinstrap penguin",21,1,1987,1986,2,1,"chicks","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Tower Island (west)","TOWW",48.1,-59.876,-63.5599999999995,"chinstrap penguin",21,1,1987,1986,1500,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Two points north of Cape Hooker","TPTN",48.1,-61.951,-63.3189999999995,"chinstrap penguin",5,2,1987,1986,100,2,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Trowbridge Islands","TROW",48.1,-57.6304,-61.9959999999992,"chinstrap penguin",31,1,1987,1986,2000,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Trundle Island","TRUN",48.1,-65.2885,-65.3937999999997,"chinstrap penguin",7,1,2013,2012,1,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"The Toe","TTOE",48.1,-59.1669,-62.3276999999993,"chinstrap penguin",11,2,1987,1986,22500,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Tupinier Island","TUPI",48.1,-58.2669,-63.3701999999995,"chinstrap penguin",NA,NA,1990,1990,15000,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Turret Point (King George Island)","TURR",48.1,-57.9514,-62.0874999999992,"chinstrap penguin",2,1,2018,2017,1,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Three islands west of Gerlache Island","TWGI",48.1,-64.2471,-64.5920999999996,"chinstrap penguin",8,2,1987,1986,1700,1,"chicks","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Twintits Stack","TWIN",48.1,-55.402,-61.179999999999,"chinstrap penguin",18,1,1971,1970,100,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Uchatka Point","UCHA",48.1,-58.439,-62.2199999999993,"chinstrap penguin",NA,NA,1996,1996,745,2,"nests","ground","<strong>Myrcha  A.  </strong><i> 1993</i>. Birds. In S. Rakusa-Suszczewski  editor  The maritime Antarctic coastal ecosystem of Admiralty Bay  pages 129-141. Department of Antarctic Biology  Polish Academy of Sciences  Warsaw  Poland."
"Unnamed island off Cape Wallace","UICW",48.1,-62.1783,-63.2321999999994,"chinstrap penguin",5,2,1987,1986,50000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Unnamed island off Elephant Point","UIEL",48.1,-60.502,-62.5999999999993,"chinstrap penguin",9,2,1987,1986,500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Useful Island","USEF",48.1,-62.864,-64.7169999999997,"chinstrap penguin",24,12,2015,2015,138,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Cape Valentine","VALE",48.1,-54.651,-61.101999999999,"chinstrap penguin",4,1,2015,2014,531,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Vapour Col (Deception Island)","VAPO",48.1,-60.721,-62.9919999999994,"chinstrap penguin",NA,12,2011,2011,19177,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Vietor Rock","VIET",48.1,-61.0981,-62.6830999999993,"chinstrap penguin",9,2,1987,1986,200,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Vietor Rock (northwest)","VRNW",48.1,-61.1021,-62.6745999999994,"chinstrap penguin",9,2,1987,1986,100,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cape Wallace Bluff (south)","WABL",48.1,-62.2664,-63.2815999999995,"chinstrap penguin",5,2,1987,1986,75000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Walker Point","WALK",48.1,-54.697,-61.142999999999,"chinstrap penguin",18,1,1971,1970,520,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cape Wallace","WALL",48.1,-62.209,-63.2329999999994,"chinstrap penguin",5,2,1987,1986,225000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Waterboat Point","WATE",48.1,-62.8581,-64.8235999999997,"chinstrap penguin",30,12,2016,2016,2,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Welcome Point","WELC",48.1,-55.429,-61.133999999999,"chinstrap penguin",18,1,1971,1970,340,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Wideopen Islands","WIDE",48.1,-55.8492,-63.0041999999994,"chinstrap penguin",NA,2,1978,1977,NA,NA,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Point Wild","WILD",48.1,-54.861,-61.097999999999,"chinstrap penguin",10,12,2006,2006,10000,3,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Winkle Island (two islets next to Winkle Island)","WINK",48.1,-65.686,-65.5199999999997,"chinstrap penguin",7,1,2013,2012,1,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Window Island","WINW",48.1,-61.1237,-62.5653999999993,"chinstrap penguin",3,2,1987,1986,75,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Withem Island","WITH",48.1,-59.1381,-62.2351999999993,"chinstrap penguin",1,2,1987,1986,NA,NA,"nests","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Wood Island","WOOI",48.1,-60.3042,-62.4840999999993,"chinstrap penguin",2,2,1987,1986,5500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Worlds End","WORL",48.1,-57.996,-61.8559999999992,"chinstrap penguin",NA,NA,1980,1980,216,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"West of Saddleback Point (Penguin Island)","WSAD",48.1,-54.963,-61.105999999999,"chinstrap penguin",16,2,1971,1970,1000,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Zawadski Stacks","ZAWA",48.1,-58.784,-62.0789999999992,"chinstrap penguin",NA,NA,1980,1980,450,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Zed Island","ZEDI",48.1,-60.166,-62.4329999999993,"chinstrap penguin",2,2,1987,1986,8000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Zig Zag Island","ZIGZ",48.1,-59.8419,-63.6122999999995,"chinstrap penguin",21,1,1987,1986,1000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
